year,toy_num,model_name,series,photo_url
1981,2503,Spacer Racer,,https://static.wikia.nocookie.net/hotwheels/images/a/af/Spacer_Racer_MtRed.JPG/revision/latest?cb=20090106144857
1981,2500,Upfront 924,,https://static.wikia.nocookie.net/hotwheels/images/f/f5/Upfront_944_orange.jpg/revision/latest?cb=20091020095024
1981,2020,Stagefright,,https://static.wikia.nocookie.net/hotwheels/images/b/b5/Image_Not_Available.jpg/revision/latest?cb=20151025125428
1982,1696,'37 Bugatti,,https://static.wikia.nocookie.net/hotwheels/images/e/e0/37_Bugatti_Blkbw.JPG/revision/latest?cb=20091021215142
1982,1699,Airport Rescue,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/2/29/Airport_Rescue-1982_Malaysia.jpg/revision/latest?cb=20140615140554
1982,1690,Bronco 4-Wheeler,,https://static.wikia.nocookie.net/hotwheels/images/5/53/Bronco_4-Wheeler_BlkBluTntLft.JPG/revision/latest?cb=20090110230735
1982,1691,Cannonade,,https://static.wikia.nocookie.net/hotwheels/images/6/66/Cannonade_Red_YelBW.JPG/revision/latest?cb=20091020012802
1982,1693,Chevy Citation,,https://static.wikia.nocookie.net/hotwheels/images/f/fd/Chevy_Citation_WhtBW1.JPG/revision/latest?cb=20090122235225
1982,3364,Dixie Challenger,,https://static.wikia.nocookie.net/hotwheels/images/3/34/Dixie_Challenger_Flag.JPG/revision/latest?cb=20081220064630
1982,1697,Minitrek,,https://static.wikia.nocookie.net/hotwheels/images/6/62/Minitrek_-_3195df.jpg/revision/latest?cb=20081219134242
1982,1700,Mirada Stocker,,https://static.wikia.nocookie.net/hotwheels/images/8/84/Mirada_Stocker_-_6363cf.jpg/revision/latest?cb=20081110134934
1982,1695,Old Number 5,,https://static.wikia.nocookie.net/hotwheels/images/0/0c/Old_Number_5_-_3193ef.jpg/revision/latest?cb=20080924200204
1982,1692,Omni 024,,https://static.wikia.nocookie.net/hotwheels/images/1/19/Omni_024.JPG/revision/latest?cb=20090915225025
1982,1689,Peterbilt Tank Truck,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/b/bb/Peterbilt_Tank_Truck_FE_-_7609cf.jpg/revision/latest?cb=20090301225828
1982,1694,Turismo,,https://static.wikia.nocookie.net/hotwheels/images/4/45/Turismo_Tan.JPG/revision/latest?cb=20090116174210
1983,3252,'35 Classic Caddy,,https://static.wikia.nocookie.net/hotwheels/images/e/ef/35_Caddy_AGENTAIR_1.jpg/revision/latest?cb=20081116150037
1983,5179,'55 Chevy,,https://static.wikia.nocookie.net/hotwheels/images/0/09/55_Chevy_RedGHO.JPG/revision/latest?cb=20090124000753
1983,3258,Aries Wagon,,https://static.wikia.nocookie.net/hotwheels/images/f/f0/Arieswagon.JPG/revision/latest?cb=20110407162835
1983,1698,Cadillac Seville,,https://static.wikia.nocookie.net/hotwheels/images/3/33/Cadillac_Seville_-_5594df.jpg/revision/latest?cb=20090830104041
1983,5182,Camaro Z-28,,https://static.wikia.nocookie.net/hotwheels/images/9/97/Camaro_Z-28_Grey.JPG/revision/latest?cb=20081231023413
1983,3254,Construction Crane,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/3/39/Construction_Crane_package_front.png/revision/latest?cb=20160919130742
1983,3254,Construction Crane,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/9/93/Construction_Crane.JPG/revision/latest?cb=20090102152208
1983,3255,Datsun 200SX,The Hot Ones,https://static.wikia.nocookie.net/hotwheels/images/a/af/Datsun_200SX_Wht.JPG/revision/latest?cb=20090915224912
1983,3250,Firebird Funny Car,,https://static.wikia.nocookie.net/hotwheels/images/b/b2/Firebird_Funny_Magyel.JPG/revision/latest?cb=20081221051819
1983,3253,Ford Dump Truck,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/d/dc/Ford_Dump_Truck_Grn.JPG/revision/latest?cb=20090102171506
